Customer ID,City,ZipCode,Gender,Age
481,"Malibu, California",90264,M,33.2
673,"Murfreesboro, Tennessee",37129,F,28.1
857,"Kansas City, Missouri",64167,F,30.8
966,"Nunnelly,  Tennessee",37137,M,32.1
1001,"Fayetteville, Ohio",45118,F,41.4
5149,"Kinmundy, Illinois",62854,F,36.6
5453,"Malibu, California",90264,M,36.2
5470,"Eminence, Missouri",65466,F,23.6
5492,"Murfreesboro, Tennessee",37129,F,36.6
5618,"Bradley, California",93426,M,29.8
5728,"Avalon, Texas",76623,F,31.6
5938,"Minturn, Colorado",81645,F,46.7
6074,"Lexington, Tennessee",38351,M,25.5
6196,"Madison, Georgia",30650,F,43.1
6210,"Gideon, Missouri",63848,M,44
6318,"Corona, California",92882,F,26.7
6681,"Jacksonville, Florida",32260,M,47.7
6742,"Newfield, New York",14867,F,35.5
7006,"Los Angeles, California",90006,F,31
7162,"Rustburg, Virginia",24588,M,34.6
7296,"San Leandro, California",94579,M,22.2
7421,"Nunnelly,  Tennessee",37137,F,43.1
7438,"Braden, Tennessee",38010,F,36.7
7552,"Sanger, Texas",76266,M,43.4
7979,"Barnhart, Missouri",63012,M,44.4
8014,"Nunnelly,  Tennessee",37137,F,24.2
8114,"Virgilina, Virginia",24598,F,32.4
8147,"Caledonia, Ohio",43314,M,32
8536,"Potter Valley, California",95469,M,31.8
8673,"Los Angeles, California",90006,F,30.8
8828,"Kansas City, Missouri",64167,F,33.1
8908,"Alexandria, Tennessee",37012,F,24.4
9464,"Amsterdam, Missouri",64723,M,46.1
9584,"Lamar, Colorado",81052,F,41.7
9633,"Dunnellon, Florida",34431,M,30.9
9822,"Tucumcari, New Mexico",88401,F,34
16410,"Richmond, California",94804,M,46.7
18002,"Atwood, Tennessee",38220,M,49.2
25092,"Old Hickory, Tennessee",37138,M,38
46066,"Tampa, Florida",33626,F,40.9
48848,"San Leandro, California",94579,F,22
55456,"Vero Beach, Florida",32963,M,50
58437,"Richwoods, Missouri",63071,M,35.6
