Order ID,Order Date,Customer ID,Region,Rep,Item,Units,Unit Price
1,2014-07-04,0001001,2,Richard,Pen Set,62,4.99
2,2014-07-12,0025092,2,Nick,Binder,29,1.99
3,2014-07-21,0005149,1,Morgan,Pen Set,55,12.49
4,2014-07-29,0005453,2,Susan,Binder,81,19.99
5,2014-08-07,0055456,1,Matthew,Pen Set,42,23.95
6,2014-08-15,0005470,2,Richard,Pencil,35,4.99
7,2014-08-24,0000481,3,James,Desk,3,275
8,2014-09-01,0005492,1,Smith,Desk,2,125
9,2014-09-10,0005618,1,Bill,Pencil,7,1.29
10,2014-09-18,0000673,2,Richard,Pen Set,16,15.99
11,2014-09-27,0005728,3,James,Pen,76,1.99
12,2014-10-05,0005938,1,Morgan,Binder,28,8.99
13,2014-10-14,0046066,3,Thomas,Binder,57,19.99
14,2014-10-22,0006074,2,Richard,Pen,64,8.99
15,2014-10-31,0006196,1,Rachel,Pencil,14,1.29
16,2014-11-08,0006210,2,Susan,Pen,15,19.99
17,2014-11-17,0006318,1,Alex,Binder,11,4.99
18,2014-11-25,0016410,1,Matthew,Pen Set,96,4.99
19,2014-12-04,0006681,1,Alex,Binder,94,19.99
20,2014-12-12,0006742,1,Smith,Pencil,67,1.29
21,2014-12-21,0000966,1,Rachel,Binder,28,4.99
22,2014-12-29,0007006,2,Susan,Pen Set,74,15.99
23,2015-01-06,0007162,2,Richard,Pencil,95,1.99
24,2015-01-15,0007296,1,Bill,Binder,46,8.99
25,2015-01-23,0007421,1,Matthew,Binder,50,19.99
26,2015-02-01,0007438,1,Smith,Binder,87,15
27,2015-02-09,0007552,1,Alex,Pencil,36,4.99
28,2015-02-18,0000857,2,Richard,Binder,4,4.99
29,2015-02-26,0007979,1,Bill,Pen,27,19.99
30,2015-03-07,0018002,3,James,Binder,7,19.99
31,2015-03-15,0008014,3,James,Pencil,56,2.99
32,2015-03-24,0008114,1,Alex,Pen Set,50,4.99
33,2015-04-01,0008147,2,Richard,Binder,60,4.99
34,2015-04-10,0058437,1,Rachel,Pencil,66,1.99
35,2015-04-18,0008536,1,Rachel,Pencil,75,1.99
36,2015-04-27,0008673,2,Nick,Pen,96,4.99
37,2015-05-05,0008828,1,Alex,Pencil,90,4.99
38,2015-05-14,0048848,1,Bill,Pencil,53,1.29
39,2015-05-22,0008908,3,Thomas,Pencil,32,1.99
40,2015-05-31,0009464,1,Bill,Binder,80,8.99
41,2015-06-08,0009584,2,Richard,Binder,60,8.99
42,2015-06-17,0009633,1,Matthew,Desk,5,125
43,2015-06-25,0009822,1,Morgan,Pencil,90,4.99
